ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
3.0518519080331085e+47	101.09	6.504	130.616	67.56	2.391348679388509	0	0	180	10	232	120	22	3	29	15	282	0	7.436991453170776	500	7.436991453170776	218	56.4	
4.06928498641838e+45	30.28	3.288265306122449	37.359693877551024	19.323979591836736	2.3384861126829146	1	108	45	5.0	87.0	45.0	22	3.0	29.0	15.0	361	0	0.6718292236328125	1000	8.108820676803589	517	48.3	
1.3369507141921625e+41	29.544	3.1054945054945056	32.05934065934066	16.582417582417584	2.3384861126829146	2	153	45	5.0	87.0	45.0	22	3.0	29.0	15.0	400	0	0.1406254768371582	1500	8.249446153640747	892	40.53333333333333	
1.7922843322588156e+39	29.912	3.072210065645514	31.094091903719914	16.083150984682714	2.3009785968029264	3	197	45	5.0	87.0	45.0	22	3.0	29.0	15.0	427	0	0.15623068809509277	2000	8.40567684173584	1271	36.45	
3.7001749338097543e+40	30.372	3.064159292035398	30.86061946902655	15.962389380530974	2.3009785968029264	4	245	45	5.0	87.0	45.0	22	3.0	29.0	15.0	452	0	0.12498950958251953	2500	8.53066635131836	1650	34.0	
2.2672686547913467e+40	30.28	3.065075921908894	30.887201735357916	15.976138828633406	2.2956739173601295	5	284	45	5.0	87.0	45.0	22	3.0	29.0	15.0	471	0	0.2031114101409912	3000	8.73377776145935	2042	31.933333333333337	
2.287927137262141e+40	30.878	3.040339702760085	30.169851380042463	15.605095541401274	1.546377795488563	6	313	45	5.0	87.0	45.0	22	3.0	29.0	15.0	504	0	0.2031111717224121	3500	8.936888933181763	2422	30.80000000000001	
1.1391473419633165e+40	30.372	3.0402542372881354	30.16737288135593	15.603813559322035	1.546377795488563	7	341	45	4.0	58.0	30.0	22	3.0	29.0	15.0	532	0	0.18749737739562988	4000	9.124386310577393	2809	29.77499999999999	
6.260355573962887e+29	29.36	3.0446808510638297	30.295744680851065	15.670212765957446	1.546377795488563	8	371	45	5.0	87.0	45.0	22	3.0	29.0	15.0	559	0	0.20310044288635254	4500	9.327486753463745	3199	28.91111111111111	
1.025911088153889e+27	28.624	3.050438596491228	30.462719298245613	15.756578947368421	1.316539029672061	9	415	45	4.0	58.0	30.0	22	3.0	29.0	15.0	599	0	0.18748807907104492	5000	9.51497483253479	3571	28.580000000000013	
3.592924170762339e+39	28.762	3.0416666666666665	30.208333333333332	15.625	1.316539029672061	10	460	45	4.0	58.0	30.0	22	3.0	29.0	15.0	626	0	0.14061427116394043	5500	9.65558910369873	3942	28.327272727272728	
3.5845685332070203e+39	28.348	3.049891540130152	30.446854663774403	15.748373101952277	1.316539029672061	11	500	45	4.0	58.0	30.0	22	3.0	29.0	15.0	657	0	0.2031114101409912	6000	9.858700513839722	4329	27.849999999999994	
1.172022295306168e+17	27.52	3.024663677130045	29.7152466367713	15.369955156950672	1.245230279114292	12	554	45	4.0	58.0	30.0	22	3.0	29.0	15.0	689	0	0.18748712539672852	6500	10.04618763923645	4702	27.661538461538456	
4.743348229756068e+32	27.566	3.0301724137931036	29.875	15.452586206896552	1.245230279114292	13	590	45	4.0	58.0	30.0	22	3.0	29.0	15.0	717	0	0.12499165534973145	7000	10.171179294586182	5085	27.35714285714286	
5.5099179242778e+37	27.704	3.0280777537796975	29.814254859611232	15.421166306695465	0.8056174513792167	14	627	45	4.0	58.0	30.0	22	3.0	29.0	15.0	739	0	0.10936903953552246	7500	10.280548334121704	5474	27.013333333333335	
4.3370961557735135e+33	28.67	3.0358649789029535	30.040084388185655	15.537974683544304	0.8056174513792167	15	654	45	4.0	58.0	30.0	22	3.0	29.0	15.0	764	0	0.15623950958251953	8000	10.436787843704224	5874	26.575000000000003	
1.7635749076174144e+39	28.854	3.0518358531317493	30.503239740820735	15.777537796976242	0.8056174513792167	16	691	45	4.0	58.0	30.0	22	3.0	29.0	15.0	791	0	0.17186260223388672	8500	10.60865044593811	6256	26.400000000000006	
