ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
3.984313265237157e+46	103.26	6.6	133.4	69.0	76.38048211104727	0	0	180	10	232	120	22	3	29	15	32	0	1.9529898166656494	50	1.9529898166656494	18	64.0	
1.9540463649039497e+28	40.56	3.7209302325581395	49.906976744186046	25.813953488372093	50.94630741602355	1	8	90	5.0	87.0	45.0	22	3.0	29.0	15.0	45	0	0.031247377395629883	100	1.9842371940612793	47	53.0	
1.886225128335517e+29	45.06	3.738095238095238	50.404761904761905	26.071428571428573	50.94630741602355	2	17	90	6.0	116.0	60.0	22	3.0	29.0	15.0	53	0	0.015623807907104492	150	1.9998610019683838	78	48.0	
1.4950601581746179e+28	46.92	3.7954545454545454	52.06818181818182	26.931818181818183	45.30518217463131	3	23	90	6.0	116.0	60.0	22	3.0	29.0	15.0	59	0	0.015624284744262695	200	2.0154852867126465	114	43.00000000000001	
2507056546982339.0	43.84	3.4545454545454546	42.18181818181818	21.818181818181817	41.42801153725166	4	30	90	5.0	87.0	45.0	22	3.0	29.0	15.0	63	0	0.0312502384185791	250	2.0467355251312256	151	39.6	
2537484950.852689	46.56	3.16	33.64	17.4	38.08738900213353	5	30	67	5	87	45	22	3	29	15	66	0	0.031245708465576172	300	2.0779812335968018	193	35.66666666666667	
4.0593061084892286e+28	51.06	3.0833333333333335	31.416666666666668	16.25	36.251623193396746	6	33	67	4.0	58.0	30.0	22	3.0	29.0	15.0	68	0	0.031248092651367188	350	2.109229326248169	232	33.71428571428572	
1.4114198856039115e+28	54.24	3.32	38.28	19.8	28.68370210020098	7	33	67	5	87	45	45	3	29	15	69	0	0.031247377395629883	400	2.140476703643799	278	30.5	
11473602638.570133	52.92	3.36	39.44	20.4	28.68370210020098	8	33	67	5	87	45	45	3	29	15	73	0	0.031249523162841797	450	2.1717262268066406	319	29.111111111111114	
1.0635238200000105e+24	49.84	3.28	37.12	19.2	28.68370210020098	9	33	67	5	87	45	45	3	29	15	74	0	0.015622854232788086	500	2.1873490810394287	363	27.400000000000006	
