ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
4.652508986682798e+47	101.09	6.504	130.616	67.56	2.3852397161286976	0	0	180	10	232	120	22	3	29	15	303	0	6.546427011489868	500	6.546427011489868	197	60.6	
1.3027060419285088e+48	43.044	3.6776649746192893	48.65228426395939	25.16497461928934	2.3801435346041906	1	106	90	7.0	145.0	75.0	22	3.0	29.0	15.0	389	0	0.15624022483825684	1000	6.702667236328125	498	50.2	
5.0483293748080354e+39	33.166	3.176470588235294	34.11764705882353	17.647058823529413	2.3334162565407173	2	165	90	5.0	87.0	45.0	22	3.0	29.0	15.0	421	0	0.20311260223388672	1500	6.905779838562012	860	42.666666666666664	
4.874358308628615e+43	29.156	3.067099567099567	30.945887445887447	16.006493506493506	2.3334162565407173	3	203	90	5.0	87.0	45.0	22	3.0	29.0	15.0	449	0	0.1718604564666748	2000	7.0776402950286865	1238	38.1	
2.845532783378357e+40	29.99	3.0539956803455723	30.565874730021598	15.809935205183585	2.2982048139829647	4	240	67	5.0	87.0	45.0	22	3.0	29.0	15.0	466	0	0.10936808586120605	2500	7.187008380889893	1629	34.84	
2.4906090280212226e+31	30.786	3.064159292035398	30.86061946902655	15.962389380530974	2.2982048126370755	5	289	67	5.0	87.0	45.0	22	3.0	29.0	15.0	492	0	0.10936832427978516	3000	7.296376705169678	2008	33.06666666666666	
4.9998158575869734e+39	32.168	3.1233480176211454	32.57709251101321	16.85022026431718	2.298149306098878	6	336	67	5.0	87.0	45.0	22	3.0	29.0	15.0	522	0	0.12499046325683594	3500	7.421367168426514	2391	31.685714285714283	
4.432531582526103e+37	31.506	3.0980392156862746	31.84313725490196	16.470588235294116	2.2868615607348772	7	378	67	5.0	87.0	45.0	22	3.0	29.0	15.0	534	0	0.09374570846557617	4000	7.51511287689209	2790	30.25	
1.3913347032295684e+23	30.77	3.079646017699115	31.309734513274336	16.194690265486727	2.286861560698292	8	427	67	5.0	87.0	45.0	22	3.0	29.0	15.0	560	0	0.1718604564666748	4500	7.686973333358765	3173	29.48888888888888	
9.667767673536855e+21	32.85	3.081896551724138	31.375	16.228448275862068	2.2868615606495113	9	464	67	5.0	87.0	45.0	22	3.0	29.0	15.0	576	0	0.15624165534973145	5000	7.843214988708496	3569	28.620000000000005	
2.0675503533647576e+40	34.052	3.064853556485356	30.880753138075313	15.972803347280335	2.286861560623414	10	487	45	5.0	87.0	45.0	22	3.0	29.0	15.0	592	0	0.1718616485595703	5500	8.015076637268066	3974	27.74545454545455	
2.6576702331358727e+24	34.466	3.09375	31.71875	16.40625	2.286861560623414	11	508	45	5.0	87.0	45.0	22	3.0	29.0	15.0	613	0	0.14062285423278809	6000	8.155699491500854	4373	27.11666666666666	
3.6717897168693554e+35	33.178	3.0632911392405062	30.835443037974684	15.949367088607595	2.286861560623414	12	534	45	5.0	87.0	45.0	22	3.0	29.0	15.0	625	0	0.12498283386230469	6500	8.28068232536316	4779	26.47692307692307	
7.458648862804739e+35	32.166	3.0460251046025104	30.334728033472803	15.690376569037657	2.2868614373202427	13	556	45	5.0	87.0	45.0	22	3.0	29.0	15.0	653	0	0.21873760223388672	7000	8.499419927597046	5180	26.0	
7.180880034505941e+29	32.534	3.0659574468085107	30.91276595744681	15.98936170212766	2.2864165943518815	14	587	45	4.0	58.0	30.0	22	3.0	29.0	15.0	672	0	0.2031104564666748	7500	8.70253038406372	5580	25.599999999999994	
7.596121956047947e+28	32.534	3.0876068376068377	31.54059829059829	16.314102564102566	2.2864165943518815	15	619	45	5.0	87.0	45.0	22	3.0	29.0	15.0	700	0	0.187485933303833	8000	8.890016317367554	5965	25.4375	
7.375385346712126e+25	32.764	3.0987124463519313	31.86266094420601	16.48068669527897	2.2864165943518815	16	654	45	4.0	58.0	30.0	22	3.0	29.0	15.0	724	0	0.17186403274536133	8500	9.061880350112915	6340	25.411764705882362	
1.8762155450713985e+31	34.512	3.1533477321814254	33.447084233261336	17.300215982721383	2.2864165943518815	17	692	45	5.0	87.0	45.0	22	3.0	29.0	15.0	753	0	0.14061450958251953	9000	9.202494859695435	6727	25.25555555555556	
6.955163337519165e+27	35.892	3.1366594360086766	32.963123644251624	17.04989154013015	2.2864165943518815	18	732	45	5.0	87.0	45.0	22	3.0	29.0	15.0	775	0	0.14061570167541504	9500	9.34311056137085	7122	25.031578947368416	
8.895272037672526e+33	38.008	3.1746361746361744	34.064449064449065	17.61954261954262	2.2864165943518815	19	752	45	5.0	87.0	45.0	22	3.0	29.0	15.0	798	0	0.10936737060546875	10000	9.452477931976318	7528	24.72	
2.111094206523512e+32	40.078	3.2024793388429753	34.87190082644628	18.037190082644628	2.2864165943518815	20	769	45	5.0	87.0	45.0	22	3.0	29.0	15.0	817	0	0.18748736381530762	10500	9.639965295791626	7950	24.285714285714292	
3.219692991279794e+33	41.596	3.227743271221532	35.60455486542443	18.41614906832298	2.2864165942665156	21	786	45	5.0	87.0	45.0	22	3.0	29.0	15.0	833	0	0.2187361717224121	11000	9.858701467514038	8383	23.790909090909096	
8.867091398367187e+33	41.918	3.3059071729957807	37.871308016877634	19.588607594936708	2.2864165942665156	22	813	45	5.0	87.0	45.0	22	3.0	29.0	15.0	858	0	0.21873736381530762	11500	10.077438831329346	8782	23.634782608695645	
1.20244755391911e+37	42.746	3.272727272727273	36.90909090909091	19.09090909090909	2.2864165942665156	23	829	45	5.0	87.0	45.0	22	3.0	29.0	15.0	886	0	0.1562366485595703	12000	10.233675479888916	9198	23.35000000000001	
4.99033384793505e+37	43.666	3.2848360655737703	37.260245901639344	19.272540983606557	2.2864165942665156	24	842	45	5.0	87.0	45.0	22	3.0	29.0	15.0	908	0	0.18748879432678223	12500	10.421164274215698	9606	23.152	
1.0661550299666741e+36	43.942	3.3803680981595092	40.030674846625764	20.70552147239264	2.2863592321164776	25	853	45	5.0	87.0	45.0	22	3.0	29.0	15.0	941	0	0.17186260223388672	13000	10.593026876449585	10024	22.892307692307696	
6.409115096040885e+40	44.31	3.4476386036960984	41.98151950718686	21.71457905544148	2.2863592321164776	26	867	45	5.0	87.0	45.0	22	3.0	29.0	15.0	982	0	0.2031097412109375	13500	10.796136617660522	10434	22.71111111111111	
2.5752885653281123e+36	44.77	3.431211498973306	41.50513347022587	21.468172484599588	2.2863592321164776	27	880	45	5.0	87.0	45.0	22	3.0	29.0	15.0	1023	0	0.2187352180480957	14000	11.014871835708618	10840	22.57142857142857	
7.969757387084396e+36	44.494	3.402439024390244	40.670731707317074	21.036585365853657	2.286357004889276	28	888	45	5.0	87.0	45.0	22	3.0	29.0	15.0	1047	0	0.15624022483825684	14500	11.171112060546875	11270	22.27586206896551	
1.1693404928877467e+34	44.908	3.417849898580122	41.11764705882353	21.267748478701826	2.2862874142720124	29	895	45	5.0	87.0	45.0	22	3.0	29.0	15.0	1078	0	0.14061617851257324	15000	11.311728239059448	11697	22.019999999999996	
5.9704661781674025e+44	45.0	3.4525252525252523	42.12323232323232	21.78787878787879	2.2862874142720124	30	900	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1108	0	0.15623784065246582	15500	11.467966079711914	12125	21.774193548387103	
9.172585801243928e+40	45.0	3.4543610547667343	42.1764705882353	21.815415821501013	2.2638984591966858	31	907	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1139	0	0.17186546325683594	16000	11.63983154296875	12557	21.518749999999997	
4.4806158832189625e+39	45.0	3.493951612903226	43.32459677419355	22.409274193548388	2.2638984591966858	32	911	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1172	0	0.187485933303833	16500	11.827317476272583	12988	21.28484848484848	
