ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.6096642145762864e+44	100.774	6.49	130.21	67.35	2.3376675286143094	0	0	180	10	232	120	22	3	29	15	292	0	6.2495810985565186	500	6.2495810985565186	208	58.4	
1.5620915640633961e+35	32.118	3.273224043715847	36.923497267759565	19.098360655737704	2.3376675286143094	1	135	67	5.0	87.0	45.0	22	3.0	29.0	15.0	358	0	0.6093235015869141	1000	6.858904600143433	443	55.7	
1.906847580686981e+44	32.9	3.06401766004415	30.856512141280355	15.960264900662251	2.3355392806785797	2	183	67	5.0	87.0	45.0	22	3.0	29.0	15.0	371	0	0.2031106948852539	1500	7.0620152950286865	739	50.733333333333334	
9.656645534989615e+35	31.428	3.0253164556962027	29.734177215189874	15.379746835443038	2.3355392806785797	3	210	67	5.0	87.0	45.0	22	3.0	29.0	15.0	382	0	0.18748712539672852	2000	7.249502420425415	1041	47.95	
3.971098381215435e+35	32.026	3.024742268041237	29.717525773195877	15.371134020618557	2.302394540216691	4	225	67	5.0	87.0	45.0	22	3.0	29.0	15.0	397	0	0.15624070167541504	2500	7.40574312210083	1355	45.8	
3.845742369630492e+35	33.546	3.024489795918367	29.710204081632654	15.36734693877551	2.2897001213214234	5	235	45	4.0	58.0	30.0	22	3.0	29.0	15.0	408	0	0.15623855590820312	3000	7.561981678009033	1661	44.63333333333333	
1.183314331347077e+36	33.868	3.0389344262295084	30.12909836065574	15.584016393442623	2.2897001213214234	6	248	45	5.0	87.0	45.0	22	3.0	29.0	15.0	421	0	0.1874864101409912	3500	7.749468088150024	1961	43.971428571428575	
1.651644024647846e+36	33.868	3.02680412371134	29.777319587628867	15.402061855670103	2.2897001213214234	7	264	45	5.0	87.0	45.0	22	3.0	29.0	15.0	429	0	0.17186427116394043	4000	7.921332359313965	2281	42.974999999999994	
2.6244280048449556e+27	33.224	3.014344262295082	29.415983606557376	15.21516393442623	2.2882468670635605	8	277	45	5.0	87.0	45.0	22	3.0	29.0	15.0	441	0	0.15623903274536133	4500	8.077571392059326	2588	42.48888888888889	
2.867275643020162e+36	33.914	3.030800821355236	29.89322381930185	15.462012320328542	2.2882468670635605	9	291	45	5.0	87.0	45.0	22	3.0	29.0	15.0	451	0	0.18748688697814941	5000	8.265058279037476	2889	42.22	
2.4200749144956923e+27	34.926	3.0185567010309278	29.53814432989691	15.278350515463918	2.2882468670635605	10	307	45	5.0	87.0	45.0	22	3.0	29.0	15.0	461	0	0.18749690055847168	5500	8.452555179595947	3182	42.14545454545454	
8.01979968004446e+24	34.558	3.016326530612245	29.473469387755102	15.244897959183673	2.288246867053641	11	317	45	4.0	58.0	30.0	22	3.0	29.0	15.0	470	0	0.1874861717224121	6000	8.64004135131836	3487	41.883333333333326	
1.1608421216684429e+36	35.202	3.0346938775510206	30.006122448979593	15.520408163265307	2.288246867048502	12	327	45	5.0	87.0	45.0	22	3.0	29.0	15.0	478	0	0.17185473442077637	6500	8.811896085739136	3791	41.676923076923075	
52298712788284.664	35.34	3.0350515463917525	30.016494845360825	15.525773195876289	2.286861560624877	13	342	45	4.0	58.0	30.0	22	3.0	29.0	15.0	495	0	0.10936713218688965	7000	8.921263217926025	4066	41.91428571428572	
1.321195934538846e+21	34.328	3.043032786885246	30.24795081967213	15.645491803278688	2.286861560624877	14	355	45	5.0	87.0	45.0	22	3.0	29.0	15.0	506	0	0.10936784744262695	7500	9.030631065368652	4371	41.72	
4.832637124557795e+21	34.328	3.0328542094455853	29.95277207392197	15.492813141683778	2.286861560624877	15	369	45	5.0	87.0	45.0	22	3.0	29.0	15.0	515	0	0.12499165534973145	8000	9.155622720718384	4678	41.525	
1.8449273104107615e+22	33.638	3.0368852459016393	30.06967213114754	15.55327868852459	2.286861560624877	16	381	45	5.0	87.0	45.0	22	3.0	29.0	15.0	525	0	0.12499094009399414	8500	9.280613660812378	4985	41.352941176470594	
2.964970591419365e+21	33.638	3.031055900621118	29.900621118012424	15.46583850931677	2.286861560619999	17	398	45	5.0	87.0	45.0	22	3.0	29.0	15.0	533	0	0.12499165534973145	9000	9.40560531616211	5282	41.31111111111111	
6.338135494080092e+29	33.362	3.064583333333333	30.872916666666665	15.96875	2.2868615606190237	18	419	45	5.0	87.0	45.0	22	3.0	29.0	15.0	545	0	0.1874866485595703	9500	9.59309196472168	5583	41.23157894736842	
1.1385375813421438e+21	33.132	3.022727272727273	29.65909090909091	15.340909090909092	2.2868615606190237	19	435	45	5.0	87.0	45.0	22	3.0	29.0	15.0	557	0	0.15623950958251953	10000	9.7493314743042	5875	41.25	
1.592738806739209e+29	33.362	3.020746887966805	29.601659751037346	15.311203319502075	2.286859946952803	20	454	45	4.0	58.0	30.0	22	3.0	29.0	15.0	567	0	0.14061546325683594	10500	9.889946937561035	6170	41.23809523809524	
1.6190605275057404e+29	34.052	3.0369609856262834	30.071868583162217	15.55441478439425	2.2868599469468274	21	468	45	5.0	87.0	45.0	22	3.0	29.0	15.0	580	0	0.10936737060546875	11000	9.999314308166504	6465	41.22727272727273	
4.343584881438145e+37	33.822	3.05	30.45	15.75	2.2868599469468274	22	488	45	4.0	58.0	30.0	22	3.0	29.0	15.0	595	0	0.09374356269836426	11500	10.093057870864868	6764	41.18260869565218	
1.0965932698368885e+29	34.328	3.0570824524312896	30.6553911205074	15.856236786469344	2.286859946942071	23	516	45	4.0	58.0	30.0	22	3.0	29.0	15.0	604	0	0.14061522483825684	12000	10.233673095703125	7042	41.31666666666667	
9.892672005102377e+21	36.214	3.1087866108786613	32.15481171548117	16.631799163179917	2.2868598066280574	24	539	45	5.0	87.0	45.0	22	3.0	29.0	15.0	614	0	0.20311260223388672	12500	10.436785697937012	7327	41.384	
6.31446174481205e+29	38.468	3.1610878661087867	33.67154811715481	17.4163179916318	2.284859929214799	25	562	45	5.0	87.0	45.0	22	3.0	29.0	15.0	625	0	0.2031097412109375	13000	10.63989543914795	7626	41.33846153846154	
1.5126176914334493e+28	39.71	3.2073434125269977	35.01295896328294	18.110151187904968	2.284859929214799	26	600	45	4.0	58.0	30.0	22	3.0	29.0	15.0	640	0	0.18748807907104492	13500	10.827383518218994	7933	41.23703703703704	
513000614124066.25	40.4	3.2404255319148936	35.97234042553192	18.606382978723403	2.284859929214799	27	630	45	4.0	58.0	30.0	22	3.0	29.0	15.0	658	0	0.12499070167541504	14000	10.95237421989441	8238	41.15714285714286	
1.2054741998992822e+33	41.458	3.2494845360824742	36.23505154639175	18.742268041237114	2.284859929214799	28	646	45	4.0	58.0	30.0	22	3.0	29.0	15.0	670	0	0.15623974800109863	14500	11.108613967895508	8582	40.81379310344827	
5.354906526510091e+23	41.964	3.2304439746300213	35.68287526427061	18.456659619450317	2.266060026344237	29	674	45	4.0	58.0	30.0	22	3.0	29.0	15.0	688	0	0.15623903274536133	15000	11.26485300064087	8894	40.70666666666667	
1.7551991685472708e+37	42.516	3.23125	35.70625	18.46875	2.266060026344237	30	694	45	5.0	87.0	45.0	22	3.0	29.0	15.0	703	0	0.14061617851257324	15500	11.405469179153442	9209	40.58709677419354	
2.3311097310223144e+24	43.528	3.252566735112936	36.32443531827516	18.788501026694046	2.266060026344237	31	708	45	5.0	87.0	45.0	22	3.0	29.0	15.0	721	0	0.14061450958251953	16000	11.546083688735962	9531	40.43125	
2.894240491252154e+24	43.712	3.3155737704918034	38.15163934426229	19.733606557377048	2.2596949835536457	32	721	45	5.0	87.0	45.0	22	3.0	29.0	15.0	736	0	0.18748688697814941	16500	11.733570575714111	9866	40.2060606060606	
5.743165693716579e+26	44.08	3.3496932515337425	39.14110429447853	20.245398773006134	2.2494006961918043	33	732	45	5.0	87.0	45.0	22	3.0	29.0	15.0	757	0	0.15623974800109863	17000	11.88981032371521	10200	40.0	
1.5441580931806932e+26	44.448	3.3727087576374744	39.80855397148676	20.590631364562118	2.2494006961918043	34	741	45	5.0	87.0	45.0	22	3.0	29.0	15.0	777	0	0.17186284065246582	17500	12.061673164367676	10561	39.65142857142857	
3.88137513628959e+22	44.54	3.428865979381443	41.437113402061854	21.432989690721648	2.2416207972997846	35	757	45	5.0	87.0	45.0	22	3.0	29.0	15.0	792	0	0.14061522483825684	18000	12.202288389205933	10915	39.361111111111114	
4.397307001941235e+34	44.77	3.4306122448979592	41.487755102040815	21.459183673469386	2.2416207972997846	36	767	45	5.0	87.0	45.0	22	3.0	29.0	15.0	807	0	0.14061570167541504	18500	12.342904090881348	11289	38.97837837837837	
4.088423330863978e+33	44.908	3.524489795918367	44.210204081632654	22.867346938775512	2.2416207972997846	37	778	45	5.0	87.0	45.0	22	3.0	29.0	15.0	823	0	0.14061546325683594	19000	12.483519554138184	11672	38.56842105263157	
3.1742771407292046e+32	45.0	3.4958847736625516	43.38065843621399	22.438271604938272	2.2416207972997846	38	793	45	5.0	87.0	45.0	45	3.0	29.0	15.0	838	0	0.2031111717224121	19500	12.686630725860596	12055	38.17948717948718	
7.843284830021154e+32	45.0	3.5649484536082476	45.383505154639174	23.47422680412371	2.218262794790773	39	808	45	5.0	87.0	45.0	45	3.0	29.0	15.0	849	0	0.249983549118042	20000	12.936614274978638	12428	37.86000000000001	
1.4457779030561333e+27	45.0	3.6239837398373984	47.09552845528455	24.359756097560975	2.182500889099917	40	816	45	5.0	87.0	45.0	45	3.0	29.0	15.0	866	0	0.2031099796295166	20500	13.139724254608154	12832	37.40487804878049	
4.5776342416498067e+33	45.0	3.6905737704918034	49.02663934426229	25.358606557377048	2.182500889099917	41	828	45	5.0	87.0	45.0	45	3.0	29.0	15.0	884	0	0.15623927116394043	21000	13.295963525772095	13221	37.042857142857144	
1.834105274990919e+32	45.0	3.638211382113821	47.50813008130081	24.573170731707318	2.182500889099917	42	837	45	5.0	87.0	45.0	45	3.0	29.0	15.0	894	0	0.15623950958251953	21500	13.452203035354614	13635	36.58139534883721	
1.329121807424229e+33	45.0	3.6783505154639173	48.672164948453606	25.175257731958762	2.162806519685747	43	853	45	5.0	87.0	45.0	45	3.0	29.0	15.0	911	0	0.18748712539672852	22000	13.639690160751343	14029	36.231818181818184	
2.0671567777224522e+29	45.0	3.6639175257731957	48.25360824742268	24.95876288659794	2.1443449573582143	44	868	45	5.0	87.0	45.0	45	3.0	29.0	15.0	927	0	0.2031111717224121	22500	13.842801332473755	14427	35.879999999999995	
4.659803138790367e+37	45.0	3.720833333333333	49.90416666666667	25.8125	2.143993239699971	45	889	45	5.0	87.0	45.0	45	3.0	29.0	15.0	944	0	0.15624070167541504	23000	13.99904203414917	14819	35.569565217391315	
2.0082737822631033e+34	45.0	3.707910750507099	49.529411764705884	25.61866125760649	2.139020257849549	46	896	45	5.0	87.0	45.0	45	3.0	29.0	15.0	954	0	0.2031090259552002	23500	14.20215106010437	15230	35.19148936170214	
3.751079541784216e+33	45.0	3.725	50.025	25.875	2.139020257849549	47	917	45	5.0	87.0	45.0	45	3.0	29.0	15.0	971	0	0.15624022483825684	24000	14.358391284942627	15633	34.8625	
3.994866394975224e+35	45.0	3.7453416149068324	50.61490683229814	26.180124223602483	2.125942434321787	48	934	45	5.0	87.0	45.0	45	3.0	29.0	15.0	984	0	0.2031116485595703	24500	14.561502933502197	16052	34.481632653061226	
3.7510804482636854e+33	45.0	3.7104166666666667	49.60208333333333	25.65625	2.1163384963816765	49	954	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1002	0	0.2343599796295166	25000	14.795862913131714	16451	34.196	
9.396229599671927e+36	45.0	3.7053941908713695	49.45643153526971	25.58091286307054	2.0975492289591404	50	973	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1017	0	0.2187330722808838	25500	15.014595985412598	16856	33.89803921568627	
1.2582825536071045e+33	45.0	3.717573221757322	49.80962343096234	25.763598326359833	2.0975492289591404	51	996	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1033	0	0.2499830722808838	26000	15.264579057693481	17255	33.63461538461539	
1.6427504702766659e+37	45.0	3.7291666666666665	50.145833333333336	25.9375	2.0975492289591404	52	1016	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1051	0	0.2343592643737793	26500	15.49893832206726	17660	33.35849056603773	
1.3706790475581187e+38	45.0	3.6859504132231407	48.892561983471076	25.289256198347108	2.0975492289591404	53	1032	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1069	0	0.2187345027923584	27000	15.71767282485962	18072	33.06666666666666	
3.8890511570582037e+37	45.0	3.6427104722792607	47.63860369609856	24.640657084188913	2.092548778566348	54	1045	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1084	0	0.18748784065246582	27500	15.905160665512085	18472	32.82909090909091	
1.1683454672268071e+35	45.0	3.675675675675676	48.5945945945946	25.135135135135137	2.092548778566348	55	1064	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1104	0	0.15623927116394043	28000	16.061399936676025	18870	32.60714285714286	
8.900366372352753e+41	45.0	3.623456790123457	47.08024691358025	24.35185185185185	2.092548778566348	56	1079	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1119	0	0.15623927116394043	28500	16.217639207839966	19260	32.421052631578945	
2.294997713108895e+34	45.0	3.6378600823045266	47.49794238683128	24.567901234567902	2.068474349108304	57	1094	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1132	0	0.10936689376831055	29000	16.327006101608276	19644	32.262068965517244	
2.159638187187487e+28	45.0	3.6511156186612577	47.88235294117647	24.766734279918865	2.068474349108304	58	1102	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1149	0	0.14061594009399414	29500	16.46762204170227	20054	32.02033898305085	
2.261907152360721e+34	45.0	3.6131687242798356	46.781893004115226	24.19753086419753	2.068474349108304	59	1117	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1158	0	0.14061546325683594	30000	16.608237504959106	20439	31.870000000000005	
6.632626090338243e+34	45.0	3.569072164948454	45.50309278350515	23.536082474226806	2.068474349108304	60	1132	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1176	0	0.18749666213989258	30500	16.795734167099	20822	31.731147540983613	
1.0589669900267477e+26	45.0	3.623456790123457	47.08024691358025	24.35185185185185	2.0666002934701035	61	1147	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1192	0	0.17185521125793457	31000	16.967589378356934	21207	31.590322580645164	
3.613057130727462e+37	45.0	3.6778242677824267	48.65690376569037	25.167364016736403	2.06460327972081	62	1169	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1199	0	0.23436713218688965	31500	17.201956510543823	21603	31.419047619047618	
1.6546291302454115e+32	45.0	3.6618556701030927	48.19381443298969	24.927835051546392	2.05799407926118	63	1184	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1215	0	0.18747735023498535	32000	17.38943386077881	22004	31.237499999999997	
2.919342530205038e+32	45.0	3.715767634854772	49.75726141078838	25.736514522821576	2.05799407926118	64	1203	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1228	0	0.18749761581420898	32500	17.576931476593018	22408	31.052307692307693	
4.0542101690789246e+37	45.0	3.6755102040816325	48.589795918367344	25.132653061224488	2.05799407926118	65	1213	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1241	0	0.20310187339782715	33000	17.780033349990845	22803	30.900000000000006	
8.490701975120495e+33	45.0	3.6141078838174274	46.809128630705395	24.21161825726141	2.05799407926118	66	1232	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1256	0	0.2656071186065674	33500	18.045640468597412	23188	30.7820895522388	
2.3665495452967402e+33	45.0	3.622448979591837	47.05102040816327	24.336734693877553	2.05799407926118	67	1243	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1274	0	0.2187337875366211	34000	18.264374256134033	23580	30.64705882352942	
1.4786158492760998e+28	45.0	3.561224489795918	45.275510204081634	23.418367346938776	2.05799407926118	68	1253	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1285	0	0.203110933303833	34500	18.467485189437866	23961	30.54782608695652	
1.7943835107019033e+33	45.0	3.5913757700205338	46.14989733059548	23.870636550308006	2.0457708269281722	69	1267	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1298	0	0.20311260223388672	35000	18.670597791671753	24343	30.448571428571427	
5.87931738470629e+27	45.0	3.5496957403651117	44.94117647058823	23.245436105476674	2.045647503639083	70	1275	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1305	0	0.1718616485595703	35500	18.842459440231323	24752	30.27605633802817	
3.6480001423711566e+32	45.0	3.546938775510204	44.861224489795916	23.20408163265306	2.045647503639083	71	1286	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1309	0	0.2499847412109375	36000	19.09244418144226	25146	30.150000000000006	
1.2629297803101376e+32	45.0	3.5950920245398774	46.25766871165644	23.926380368098158	2.045647503639083	72	1298	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1324	0	0.23435735702514648	36500	19.326801538467407	25540	30.027397260273972	
4.619790286637205e+25	45.0	3.6646090534979425	48.27366255144033	24.969135802469136	2.045647503639083	73	1313	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1338	0	0.18748712539672852	37000	19.514288663864136	25931	29.916216216216213	
1.0004166817511593e+36	45.0	3.6352459016393444	47.42213114754098	24.528688524590162	2.045647495633025	74	1325	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1347	0	0.24998235702514648	37500	19.764271020889282	26331	29.784000000000006	
2.8522768074492924e+29	45.0	3.6346555323590812	47.40501043841336	24.51983298538622	2.045647495633025	75	1347	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1357	0	0.2187354564666748	38000	19.983006477355957	26726	29.668421052631572	
3.6927226741738e+37	45.0	3.6673596673596673	48.353430353430355	25.010395010395012	2.045647483768917	76	1366	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1364	0	0.2343592643737793	38500	20.217365741729736	27146	29.490909090909085	
2.9191973973421e+29	45.0	3.628630705394191	47.23029045643153	24.429460580912863	2.045647483768917	77	1385	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1375	0	0.2031106948852539	39000	20.42047643661499	27550	29.35897435897435	
1.1160999294979992e+33	45.0	3.6224066390041494	47.04979253112033	24.33609958506224	2.045647483768917	78	1404	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1390	0	0.15623927116394043	39500	20.57671570777893	27934	29.28101265822785	
6.968843134792456e+28	45.0	3.5610766045548656	45.2712215320911	23.41614906832298	2.045647483768917	79	1421	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1403	0	0.23436880111694336	40000	20.811084508895874	28329	29.177499999999995	
3.3787932564150946e+26	45.0	3.564777327935223	45.378542510121456	23.47165991902834	2.045647483768917	80	1428	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1413	0	0.20310282707214355	40500	21.014187335968018	28733	29.05432098765432	
2.1701960389178009e+24	45.0	3.546777546777547	44.856548856548855	23.2016632016632	2.045647483768917	81	1447	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1424	0	0.15623998641967773	41000	21.170427322387695	29110	29.0	
3.216629292699878e+27	45.0	3.487603305785124	43.14049586776859	22.31404958677686	2.045647483768917	82	1464	45	4.0	58.0	30.0	45	3.0	29.0	15.0	1437	0	0.14061808586120605	41500	21.3110454082489	29480	28.963855421686745	
4.405424116105457e+32	45.0	3.5153374233128836	43.94478527607362	22.73006134969325	2.045647483768917	83	1475	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1453	0	0.203108549118042	42000	21.514153957366943	29855	28.91666666666667	
3.235641067504388e+27	45.0	3.4824016563147	42.989648033126294	22.236024844720497	2.0438073736582973	84	1492	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1469	0	0.171860933303833	42500	21.686014890670776	30230	28.87058823529412	
1.2928211635221032e+24	45.0	3.478615071283096	42.87983706720978	22.179226069246436	2.0438073736582973	85	1502	45	4.0	58.0	30.0	45	3.0	29.0	15.0	1475	0	0.17186403274536133	43000	21.857878923416138	30618	28.795348837209303	
4.506475026084088e+29	45.0	3.5060975609756095	43.676829268292686	22.591463414634145	2.0438073736582973	86	1511	45	5.0	87.0	45.0	45	3.0	29.0	15.0	1488	0	0.18748855590820312	43500	22.04536747932434	31007	28.719540229885055	
