ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
4.164628933410831e+47	101.046	6.502	130.558	67.53	46.338847578013954	0	0	180	10	232	120	22	3	29	15	306	0	6.9428651332855225	500	6.9428651332855225	194	61.199999999999996	
8.99530337629823e+45	54.046	4.036764705882353	59.06617647058823	30.551470588235293	34.74609944347711	1	93	90	8.0	174.0	90.0	22	3.0	29.0	15.0	435	0	0.3138916492462158	1000	7.256756782531738	450	55.0	
6.464877015327637e+36	53.386	3.767032967032967	51.24395604395605	26.505494505494507	34.74609944347711	2	139	90	8.0	174.0	90.0	22	3.0	29.0	15.0	506	0	0.2187364101409912	1500	7.4754931926727295	769	48.73333333333333	
1.16983436622318e+40	53.102	3.3796095444685466	40.00867678958785	20.694143167028198	34.74609944347711	3	178	90	6.0	116.0	60.0	22	3.0	29.0	15.0	541	0	0.1874854564666748	2000	7.662978649139404	1077	46.150000000000006	
3.801819929210057e+29	54.044	3.2162162162162162	35.270270270270274	18.243243243243242	34.74609944347711	4	198	90	6.0	116.0	60.0	22	3.0	29.0	15.0	564	0	0.15810394287109375	2500	7.821082592010498	1385	44.599999999999994	
5.1428912025203286e+39	52.872	3.111111111111111	32.22222222222222	16.666666666666668	34.74609944347711	5	213	90	7.0	145.0	75.0	22	3.0	29.0	15.0	577	0	0.17186450958251953	3000	7.992947101593018	1700	43.333333333333336	
4.6494293854170904e+33	53.274	3.1321138211382116	32.83130081300813	16.98170731707317	32.85430899335383	6	222	90	6.0	116.0	60.0	22	3.0	29.0	15.0	590	0	0.1874840259552002	3500	8.180431127548218	2027	42.08571428571428	
2.767913144829575e+35	55.708	3.0924024640657084	31.679671457905545	16.386036960985628	32.85430899335383	7	235	90	5.0	87.0	45.0	22	3.0	29.0	15.0	598	0	0.1739664077758789	4000	8.354397535324097	2339	41.525	
1.904663200827622e+29	56.83	3.092929292929293	31.694949494949494	16.393939393939394	32.85430899335383	8	240	90	5.0	87.0	45.0	22	3.0	29.0	15.0	608	0	0.17186307907104492	4500	8.526260614395142	2661	40.86666666666666	
3.674503509478326e+32	58.988	3.0890688259109313	31.582995951417004	16.336032388663966	32.29128416789751	9	246	90	6.0	116.0	60.0	22	3.0	29.0	15.0	618	0	0.14061617851257324	5000	8.666876792907715	2981	40.38	
1.753984356903644e+39	59.37	3.1081632653061226	32.13673469387755	16.622448979591837	32.27600797162962	10	256	90	6.0	116.0	60.0	22	3.0	29.0	15.0	625	0	0.17323780059814453	5500	8.84011459350586	3300	40.0	
2.465059453759485e+34	60.5	3.08502024291498	31.465587044534413	16.275303643724698	32.27600797162962	11	263	90	6.0	116.0	60.0	22	3.0	29.0	15.0	638	0	0.15623998641967773	6000	8.996354579925537	3614	39.76666666666666	
2.6720135091145843e+34	60.534	3.092929292929293	31.694949494949494	16.393939393939394	32.26706450521833	12	269	90	5.0	87.0	45.0	22	3.0	29.0	15.0	653	0	0.17186188697814941	6500	9.168216466903687	3929	39.55384615384615	
1.3362034636458748e+39	61.588	3.103030303030303	31.98787878787879	16.545454545454547	32.26706450521833	13	274	90	6.0	116.0	60.0	22	3.0	29.0	15.0	666	0	0.1731736660003662	7000	9.341390132904053	4262	39.114285714285714	
1.4429287957696925e+35	61.9	3.1260162601626016	32.65447154471545	16.890243902439025	25.740657127298565	14	283	90	6.0	116.0	60.0	22	3.0	29.0	15.0	676	0	0.17186260223388672	7500	9.51325273513794	4583	38.89333333333334	
1.52194184745259e+27	61.86	3.105906313645621	32.07128309572301	16.58859470468432	25.740657127298565	15	292	90	6.0	116.0	60.0	22	3.0	29.0	15.0	690	0	0.17186188697814941	8000	9.685114622116089	4891	38.8625	
3.112907428454773e+47	60.796	3.121212121212121	32.515151515151516	16.818181818181817	25.740657127298565	16	297	90	6.0	116.0	60.0	22	3.0	29.0	15.0	704	0	0.18903398513793945	8500	9.874148607254028	5213	38.67058823529411	
2.6522423250478744e+45	61.656	3.086693548387097	31.514112903225808	16.300403225806452	25.740657127298565	17	302	90	6.0	116.0	60.0	22	3.0	29.0	15.0	715	0	0.18748855590820312	9000	10.061637163162231	5521	38.65555555555555	
1.1413366470019356e+36	62.738	3.094949494949495	31.753535353535355	16.424242424242426	25.740657127298565	18	308	90	6.0	116.0	60.0	22	3.0	29.0	15.0	728	0	0.15815949440002441	9500	10.219796657562256	5837	38.5578947368421	
4.491781180752545e+28	62.128	3.104417670682731	32.028112449799195	16.566265060240966	25.693772892858917	19	310	90	6.0	116.0	60.0	22	3.0	29.0	15.0	737	0	0.20311212539672852	10000	10.422908782958984	6178	38.22	
5.18996022230257e+18	61.958	3.1006036217303823	31.917505030181086	16.509054325955734	25.693772892858917	20	313	90	6.0	116.0	60.0	22	3.0	29.0	15.0	744	0	0.18748807907104492	10500	10.61039686203003	6512	37.98095238095238	
2.7125633664245628e+35	62.752	3.086519114688129	31.509054325955734	16.29778672032193	24.749489347176677	21	316	90	6.0	116.0	60.0	22	3.0	29.0	15.0	751	0	0.1890087127685547	11000	10.799405574798584	6832	37.89090909090908	
6.334507540651821e+24	63.082	3.091463414634146	31.652439024390244	16.371951219512194	24.749489347176677	22	324	90	6.0	116.0	60.0	22	3.0	29.0	15.0	756	0	0.17186331748962402	11500	10.971268892288208	7158	37.756521739130434	
2.581342695402348e+25	64.024	3.096192384769539	31.789579158316634	16.442885771543086	24.749489347176677	23	325	90	6.0	116.0	60.0	22	3.0	29.0	15.0	760	0	0.14061427116394043	12000	11.111883163452148	7490	37.583333333333336	
545283238192652.1	63.75	3.0813008130081303	31.357723577235774	16.21951219512195	24.199634497410862	24	333	90	6.0	116.0	60.0	22	3.0	29.0	15.0	768	0	0.18940091133117676	12500	11.301284074783325	7809	37.52799999999999	
437697440512879.56	64.314	3.1325301204819276	32.8433734939759	16.987951807228917	24.196234767195925	25	336	90	6.0	116.0	60.0	22	3.0	29.0	15.0	777	0	0.18748736381530762	13000	11.488771438598633	8124	37.50769230769231	
1.0418101206659894e+20	64.87	3.091463414634146	31.652439024390244	16.371951219512194	24.196234767195925	26	344	90	4.0	58.0	30.0	22	3.0	29.0	15.0	783	0	0.18903374671936035	13500	11.677805185317993	8460	37.33333333333333	
2.448002335934154e+20	63.99	3.096192384769539	31.789579158316634	16.442885771543086	24.196234767195925	27	345	90	6.0	116.0	60.0	22	3.0	29.0	15.0	787	0	0.17455029487609863	14000	11.852355480194092	8794	37.18571428571429	
1.7212549866374348e+39	62.834	3.120967741935484	32.50806451612903	16.81451612903226	24.129082921128095	28	349	90	6.0	116.0	60.0	22	3.0	29.0	15.0	791	0	0.17186260223388672	14500	12.024218082427979	9116	37.131034482758615	
2.231535877034272e+38	63.66	3.104417670682731	32.028112449799195	16.566265060240966	24.107795364204634	29	352	90	6.0	116.0	60.0	22	3.0	29.0	15.0	793	0	0.17186617851257324	15000	12.196084260940552	9446	37.026666666666664	
4.994167317879525e+19	64.636	3.126	32.654	16.89	24.107795364204634	30	352	90	6	116	60	22	3	29	15	801	0	0.17379522323608398	15500	12.369879484176636	9768	36.980645161290326	
1.3056602992445177e+23	64.054	3.118712273641851	32.44265593561368	16.780684104627767	24.107795364204634	31	355	90	6.0	116.0	60.0	22	3.0	29.0	15.0	811	0	0.15623784065246582	16000	12.526117324829102	10110	36.8125	
2.9136245860054827e+29	62.152	3.121212121212121	32.515151515151516	16.818181818181817	24.107795364204634	32	361	90	6.0	116.0	60.0	22	3.0	29.0	15.0	816	0	0.20476484298706055	16500	12.730882167816162	10451	36.66060606060606	
2.5338678456189796e+16	60.04	3.1004016064257027	31.91164658634538	16.50602409638554	24.107795364204634	33	363	90	5.0	87.0	45.0	22	3.0	29.0	15.0	822	0	0.1734168529510498	17000	12.904299020767212	10772	36.63529411764706	
1.717770664802137e+39	60.376	3.1448692152917506	33.201207243460765	17.173038229376257	24.107795364204634	34	366	90	6.0	116.0	60.0	22	3.0	29.0	15.0	826	0	0.18748927116394043	17500	13.091788291931152	11100	36.57142857142858	
1.660986690893324e+17	63.048	3.178714859437751	34.18273092369478	17.680722891566266	23.654105232731933	35	369	90	7.0	145.0	75.0	22	3.0	29.0	15.0	833	0	0.17374897003173828	18000	13.26553726196289	11424	36.53333333333333	
1.724753472382633e+39	63.326	3.164989939637827	33.78470824949698	17.474849094567404	23.654105232731933	36	372	90	6.0	116.0	60.0	22	3.0	29.0	15.0	839	0	0.18748760223388672	18500	13.453024864196777	11757	36.44864864864865	
7.5645401449355055e+31	62.454	3.130260521042084	32.77755511022044	16.95390781563126	23.654105232731933	37	373	90	6.0	116.0	60.0	22	3.0	29.0	15.0	846	0	0.17341065406799316	19000	13.62643551826477	12085	36.39473684210527	
2.1097634860448356e+22	65.738	3.1549295774647885	33.49295774647887	17.323943661971832	23.654105232731933	38	377	90	6.0	116.0	60.0	22	3.0	29.0	15.0	848	0	0.1732027530670166	19500	13.799638271331787	12414	36.338461538461544	
9.864794511332796e+31	67.134	3.094188376753507	31.731462925851705	16.412825651302605	21.31550323117526	39	378	90	6.0	116.0	60.0	22	3.0	29.0	15.0	854	0	0.18748998641967773	20000	13.987128257751465	12732	36.339999999999996	
9.15122248566233e+39	66.676	3.0883534136546187	31.562248995983936	16.325301204819276	21.31550323117526	40	381	90	6.0	116.0	60.0	22	3.0	29.0	15.0	856	0	0.15768122673034668	20500	14.144809484481812	13067	36.25853658536585	
3.0201600000143874e+31	66.14	3.1244979919678717	32.610441767068274	16.867469879518072	21.31550323117526	41	383	90	6.0	116.0	60.0	22	3.0	29.0	15.0	860	0	0.22150802612304688	21000	14.366317510604858	13402	36.18095238095238	
5.1686571249174045e+32	67.852	3.1129032258064515	32.274193548387096	16.693548387096776	21.31550323117526	42	387	90	6.0	116.0	60.0	22	3.0	29.0	15.0	864	0	0.1874864101409912	21500	14.55380392074585	13724	36.16744186046512	
