ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.895253268138451e+38	100.55	6.48	129.92	67.2	79.53242475338328	0	0	180	10	232	120	22	3	29	15	67	0	2.4060845375061035	100	2.4060845375061035	33	67.0	
1.4014065476763832e+33	28.66	3.1341463414634148	32.890243902439025	17.01219512195122	79.53242475338328	1	19	67	5.0	87.0	45.0	22	3.0	29.0	15.0	72	0	0.10936737060546875	200	2.5154519081115723	91	54.5	
3.198245721728604e+20	29.35	3.0549450549450547	30.593406593406595	15.824175824175825	78.2244111485214	2	29	67	5.0	87.0	45.0	22	3.0	29.0	15.0	72	0	0.031247377395629883	300	2.546699285507202	147	51.0	
2.5101241716879652e+25	29.59	3.021276595744681	29.617021276595743	15.319148936170214	77.35452852557056	3	36	45	5.0	87.0	45.0	22	3.0	29.0	15.0	72	0	0.04687237739562988	400	2.593571662902832	210	47.5	
2.809807551085616e+19	28.21	3.020408163265306	29.591836734693878	15.306122448979592	70.43993810335776	4	38	45	5.0	87.0	45.0	22	3.0	29.0	15.0	74	0	0.031247377395629883	500	2.624819040298462	272	45.599999999999994	
5.446612480171992e+34	29.36	3.0	29.0	15.0	58.50389168100245	5	45	45	3.0	29.0	15.0	22	3.0	29.0	15.0	75	0	0.03124833106994629	600	2.656067371368408	343	42.833333333333336	
1.2721794090130285e+25	30.28	3.02	29.58	15.3	45.54172072056534	6	46	45	5	87	45	22	3	29	15	75	0	0.031247615814208984	700	2.687314987182617	412	41.142857142857146	
7.226545091399748e+20	30.97	3.03125	29.90625	15.46875	45.54172072056534	7	51	45	4.0	58.0	30.0	22	3.0	29.0	15.0	75	0	0.031248092651367188	800	2.7185630798339844	471	41.125	
1.080956055666465e+28	30.51	3.020408163265306	29.591836734693878	15.306122448979592	44.201433070834696	8	54	45	4.0	58.0	30.0	22	3.0	29.0	15.0	76	0	0.031247377395629883	900	2.7498104572296143	530	41.11111111111111	
104159599115684.23	31.43	3.0526315789473686	30.526315789473685	15.789473684210526	40.78769409931477	9	59	45	4.0	58.0	30.0	22	3.0	29.0	15.0	79	0	0.04687166213989258	1000	2.796682119369507	597	40.300000000000004	
1935012006758717.0	29.36	3.0103092783505154	29.298969072164947	15.154639175257731	40.78769409931477	10	63	45	4.0	58.0	30.0	22	3.0	29.0	15.0	80	0	0.031248092651367188	1100	2.827930212020874	663	39.72727272727272	
