ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
100.91	6.496	130.384	67.44	2	0	0	180	10	232	120	22	3	29	15	139	320	0	8.048389434814453	500	8.048389434814453	180	64.0	
76.48	4.456066945606694	71.22594142259415	36.84100418410042	2	1	121	180	10.0	232.0	120.0	22	3.0	29.0	15.0	263	413	0	14.684682369232178	1000	22.73307180404663	445	55.5	
67.438	3.664	48.256	24.96	7	2	199	180	9	203	105	22	3	29	15	188	463	0	17.545673847198486	1500	40.27874565124512	731	51.266666666666666	
74.664	3.52	44.08	22.8	2	3	255	180	8	174	90	22	3	29	15	163	518	0	17.936272859573364	2000	58.21501851081848	1022	48.9	
77.014	3.358	39.382	20.37	4	4	286	180	7	145	75	22	3	29	15	128	549	0	18.326871633529663	2500	76.54189014434814	1355	45.8	
77.7	3.396	40.484	20.94	7	5	307	180	7	145	75	22	3	29	15	140	585	0	19.154948234558105	3000	95.69683837890625	1663	44.56666666666666	
75.524	3.318	38.222	19.77	21	6	322	180	5	87	45	22	3	29	15	105	615	0	18.904948234558105	3500	114.60178661346436	1958	44.057142857142864	
74.252	3.29	37.41	19.35	2	7	332	180	5	87	45	22	3	29	15	107	643	0	18.545615434646606	4000	133.14740204811096	2276	43.10000000000001	
76.352	3.264	36.656	18.96	2	8	346	180	5	87	45	22	3	29	15	100	670	0	18.436228036880493	4500	151.58363008499146	2560	43.111111111111114	
75.218	3.17	33.93	17.55	4	9	366	180	5	87	45	22	3	29	15	72	687	0	18.26438617706299	5000	169.84801626205444	2820	43.60000000000001	
79.044	3.112	32.248	16.68	2	10	372	180	5	87	45	22	3	29	15	47	708	0	18.779955625534058	5500	188.6279718875885	3084	43.92727272727272	
79.82	3.092	31.668	16.38	6	11	381	180	5	87	45	22	3	29	15	36	730	0	18.123769521713257	6000	206.75174140930176	3362	43.96666666666667	
81.764	3.094	31.726	16.41	1	12	389	180	5	87	45	22	3	29	15	39	750	0	17.639418840408325	6500	224.39116024971008	3629	44.16923076923077	
83.06	3.05	30.45	15.75	1	13	395	180	4	58	30	22	3	29	15	20	760	0	17.717528104782104	7000	242.1086883544922	3880	44.57142857142857	
82.824	3.04	30.16	15.6	1	14	398	180	5	87	45	22	3	29	15	18	781	0	17.795658349990845	7500	259.90434670448303	4135	44.86666666666667	
